,TownID,CountryName,Country,TownName,Town
163,1001401,臺東,臺東縣,臺東,臺東市
164,1001402,臺東,臺東縣,成功,成功鎮
165,1001403,臺東,臺東縣,關山,關山鎮
166,1001404,臺東,臺東縣,卑南,卑南鄉
167,1001405,臺東,臺東縣,鹿野,鹿野鄉
168,1001406,臺東,臺東縣,池上,池上鄉
169,1001407,臺東,臺東縣,東河,東河鄉
170,1001408,臺東,臺東縣,長濱,長濱鄉
171,1001409,臺東,臺東縣,太麻里,太麻里鄉
172,1001410,臺東,臺東縣,大武,大武鄉
173,1001411,臺東,臺東縣,綠島,綠島鄉
174,1001412,臺東,臺東縣,海端,海端鄉
175,1001413,臺東,臺東縣,延平,延平鄉
176,1001414,臺東,臺東縣,金峰,金峰鄉
177,1001415,臺東,臺東縣,達仁,達仁鄉
178,1001416,臺東,臺東縣,蘭嶼,蘭嶼鄉
179,1001501,花蓮,花蓮縣,花蓮,花蓮市
180,1001502,花蓮,花蓮縣,鳳林,鳳林鎮
181,1001503,花蓮,花蓮縣,玉里,玉里鎮
182,1001504,花蓮,花蓮縣,新城,新城鄉
183,1001505,花蓮,花蓮縣,吉安,吉安鄉
184,1001506,花蓮,花蓮縣,壽豐,壽豐鄉
185,1001507,花蓮,花蓮縣,光復,光復鄉
186,1001508,花蓮,花蓮縣,豐濱,豐濱鄉
187,1001509,花蓮,花蓮縣,瑞穗,瑞穗鄉
188,1001510,花蓮,花蓮縣,富里,富里鄉
189,1001511,花蓮,花蓮縣,秀林,秀林鄉
190,1001512,花蓮,花蓮縣,萬榮,萬榮鄉
191,1001513,花蓮,花蓮縣,卓溪,卓溪鄉
192,1001601,澎湖,澎湖縣,馬公,馬公市
193,1001602,澎湖,澎湖縣,湖西,湖西鄉
194,1001603,澎湖,澎湖縣,白沙,白沙鄉
195,1001604,澎湖,澎湖縣,西嶼,西嶼鄉
196,1001605,澎湖,澎湖縣,望安,望安鄉
197,1001606,澎湖,澎湖縣,七美,七美鄉
198,1001701,基隆,基隆市,中正,中正區
199,1001702,基隆,基隆市,七堵,七堵區
200,1001703,基隆,基隆市,暖暖,暖暖區
201,1001704,基隆,基隆市,仁愛,仁愛區
202,1001705,基隆,基隆市,中山,中山區
203,1001706,基隆,基隆市,安樂,安樂區
204,1001707,基隆,基隆市,信義,信義區
205,1001801,新竹,新竹市,東,東區
206,1001802,新竹,新竹市,北,北區
207,1001803,新竹,新竹市,香山,香山區
208,1002001,嘉義,嘉義市,東,東區
209,1002002,嘉義,嘉義市,西,西區
210,6300100,臺北,臺北市,松山,松山區
211,6300200,臺北,臺北市,信義,信義區
212,6300300,臺北,臺北市,大安,大安區
213,6300400,臺北,臺北市,中山,中山區
214,6300500,臺北,臺北市,中正,中正區
215,6300600,臺北,臺北市,大同,大同區
216,6300700,臺北,臺北市,萬華,萬華區
217,6300800,臺北,臺北市,文山,文山區
218,6300900,臺北,臺北市,南港,南港區
219,6301000,臺北,臺北市,內湖,內湖區
220,6301100,臺北,臺北市,士林,士林區
221,6301200,臺北,臺北市,北投,北投區
222,6400100,高雄,高雄市,鹽埕,鹽埕區
223,6400200,高雄,高雄市,鼓山,鼓山區
224,6400300,高雄,高雄市,左營,左營區
225,6400400,高雄,高雄市,楠梓,楠梓區
226,6400500,高雄,高雄市,三民,三民區
227,6400600,高雄,高雄市,新興,新興區
228,6400700,高雄,高雄市,前金,前金區
229,6400800,高雄,高雄市,苓雅,苓雅區
230,6400900,高雄,高雄市,前鎮,前鎮區
231,6401000,高雄,高雄市,旗津,旗津區
232,6401100,高雄,高雄市,小港,小港區
233,6401200,高雄,高雄市,鳳山,鳳山區
234,6401300,高雄,高雄市,林園,林園區
235,6401400,高雄,高雄市,大寮,大寮區
236,6401500,高雄,高雄市,大樹,大樹區
237,6401600,高雄,高雄市,大社,大社區
238,6401700,高雄,高雄市,仁武,仁武區
239,6401800,高雄,高雄市,鳥松,鳥松區
240,6401900,高雄,高雄市,岡山,岡山區
241,6402000,高雄,高雄市,橋頭,橋頭區
242,6402100,高雄,高雄市,燕巢,燕巢區
243,6402200,高雄,高雄市,田寮,田寮區
244,6402300,高雄,高雄市,阿蓮,阿蓮區
245,6402400,高雄,高雄市,路竹,路竹區
246,6402500,高雄,高雄市,湖內,湖內區
247,6402600,高雄,高雄市,茄萣,茄萣區
248,6402700,高雄,高雄市,永安,永安區
249,6402800,高雄,高雄市,彌陀,彌陀區
250,6402900,高雄,高雄市,梓官,梓官區
