,TownID,Postal,CountryName,Country,TownName,Town
121,1001010,624,嘉義,嘉義縣,義竹,義竹鄉
114,1001003,625,嘉義,嘉義縣,布袋,布袋鎮
93,1000902,630,雲林,雲林縣,斗南,斗南鎮
99,1000908,631,雲林,雲林縣,大埤,大埤鄉
94,1000903,632,雲林,雲林縣,虎尾,虎尾鎮
96,1000905,633,雲林,雲林縣,土庫,土庫鎮
106,1000915,634,雲林,雲林縣,褒忠,褒忠鄉
105,1000914,635,雲林,雲林縣,東勢,東勢鄉
107,1000916,636,雲林,雲林縣,臺西,臺西鄉
103,1000912,637,雲林,雲林縣,崙背,崙背鄉
104,1000913,638,雲林,雲林縣,麥寮,麥寮鄉
92,1000901,640,雲林,雲林縣,斗六,斗六市
101,1000910,643,雲林,雲林縣,林內,林內鄉
98,1000907,646,雲林,雲林縣,古坑,古坑鄉
100,1000909,647,雲林,雲林縣,莿桐,莿桐鄉
95,1000904,648,雲林,雲林縣,西螺,西螺鎮
102,1000911,649,雲林,雲林縣,二崙,二崙鄉
97,1000906,651,雲林,雲林縣,北港,北港鎮
111,1000920,652,雲林,雲林縣,水林,水林鄉
110,1000919,653,雲林,雲林縣,口湖,口湖鄉
109,1000918,654,雲林,雲林縣,四湖,四湖鄉
108,1000917,655,雲林,雲林縣,元長,元長鄉
354,6703700,700,臺南,臺南市,中西,中西區
208,1002001,701,嘉義,嘉義市,東,東區
205,1001801,701,新竹,新竹市,東,東區
349,6703200,701,臺南,臺南市,東,東區
290,6600200,701,臺中,臺中市,東,東區
350,6703300,702,臺南,臺南市,南,南區
291,6600300,702,臺中,臺中市,南,南區
206,1001802,704,新竹,新竹市,北,北區
293,6600500,704,臺中,臺中市,北,北區
351,6703400,704,臺南,臺南市,北,北區
353,6703600,708,臺南,臺南市,安平,安平區
352,6703500,709,臺南,臺南市,安南,安南區
348,6703100,710,臺南,臺南市,永康,永康區
345,6702800,711,臺南,臺南市,歸仁,歸仁區
335,6701800,712,臺南,臺南市,新化,新化區
343,6702600,713,臺南,臺南市,左鎮,左鎮區
